aseg.csv,aseg_bigregions.csv,brainstem.csv,lh.aparc.a2009s.csv,lh.aparc.csv,lh.aparc.DKTatlas.csv,lh.aparc.pial.a2009s.csv,lh.aparc.pial.csv,lh.aparc.pialDKT.csv,lh.BA_exvivo.csv,lhpcsub.csv,rh.aparc.a2009s.csv,rh.aparc.csv,rh.aparc.DKTatlas.csv,rh.aparc.pial.a2009s.csv,rh.aparc.pial.csv,rh.aparc.pialDKT.csv,rh.BA_exvivo.csv,rhpcsub.csv,wmparc.csv
,,,g_oc-temp_med-lingual_surfarea,parsorbitalis_surfarea,pericalcarine_surfarea,,,,,,g_oc-temp_med-lingual_surfarea,parsorbitalis_surfarea,pericalcarine_surfarea,,,,,,
,,,g_oc-temp_med-lingual_thickavg,parsorbitalis_thickavg,pericalcarine_thickavg,,,,,,g_oc-temp_med-lingual_thickavg,parsorbitalis_thickavg,pericalcarine_thickavg,,,,,,
,,,g_oc-temp_med-lingual_thickstd,parsorbitalis_thickstd,pericalcarine_thickstd,,,,,,g_oc-temp_med-lingual_thickstd,parsorbitalis_thickstd,pericalcarine_thickstd,,,,,,
,,,g_oc-temp_med-parahip_curvind,parstriangularis_curvind,postcentral_curvind,,,,,,g_oc-temp_med-parahip_curvind,parstriangularis_curvind,postcentral_curvind,,,,,,
,,,g_oc-temp_med-parahip_foldind,parstriangularis_foldind,postcentral_foldind,,,,,,g_oc-temp_med-parahip_foldind,parstriangularis_foldind,postcentral_foldind,,,,,,
,,,g_oc-temp_med-parahip_gauscurv,parstriangularis_gauscurv,postcentral_gauscurv,,,,,,g_oc-temp_med-parahip_gauscurv,parstriangularis_gauscurv,postcentral_gauscurv,,,,,,
,,,g_oc-temp_med-parahip_grayvol,parstriangularis_grayvol,postcentral_grayvol,,,,,,g_oc-temp_med-parahip_grayvol,parstriangularis_grayvol,postcentral_grayvol,,,,,,
,,,g_oc-temp_med-parahip_meancurv,parstriangularis_meancurv,postcentral_meancurv,,,,,,g_oc-temp_med-parahip_meancurv,parstriangularis_meancurv,postcentral_meancurv,,,,,,
,,,g_oc-temp_med-parahip_numvert,parstriangularis_numvert,postcentral_numvert,,,,,,g_oc-temp_med-parahip_numvert,parstriangularis_numvert,postcentral_numvert,,,,,,
,,,g_oc-temp_med-parahip_surfarea,parstriangularis_surfarea,postcentral_surfarea,,,,,,g_oc-temp_med-parahip_surfarea,parstriangularis_surfarea,postcentral_surfarea,,,,,,
,,,g_oc-temp_med-parahip_thickavg,parstriangularis_thickavg,postcentral_thickavg,,,,,,g_oc-temp_med-parahip_thickavg,parstriangularis_thickavg,postcentral_thickavg,,,,,,
,,,g_oc-temp_med-parahip_thickstd,parstriangularis_thickstd,postcentral_thickstd,,,,,,g_oc-temp_med-parahip_thickstd,parstriangularis_thickstd,postcentral_thickstd,,,,,,
,,,g_occipital_middle_curvind,pericalcarine_curvind,posteriorcingulate_curvind,,,,,,g_occipital_middle_curvind,pericalcarine_curvind,posteriorcingulate_curvind,,,,,,
,,,g_occipital_middle_foldind,pericalcarine_foldind,posteriorcingulate_foldind,,,,,,g_occipital_middle_foldind,pericalcarine_foldind,posteriorcingulate_foldind,,,,,,
,,,g_occipital_middle_gauscurv,pericalcarine_gauscurv,posteriorcingulate_gauscurv,,,,,,g_occipital_middle_gauscurv,pericalcarine_gauscurv,posteriorcingulate_gauscurv,,,,,,
,,,g_occipital_middle_grayvol,pericalcarine_grayvol,posteriorcingulate_grayvol,,,,,,g_occipital_middle_grayvol,pericalcarine_grayvol,posteriorcingulate_grayvol,,,,,,
,,,g_occipital_middle_meancurv,pericalcarine_meancurv,posteriorcingulate_meancurv,,,,,,g_occipital_middle_meancurv,pericalcarine_meancurv,posteriorcingulate_meancurv,,,,,,
,,,g_occipital_middle_numvert,pericalcarine_numvert,posteriorcingulate_numvert,,,,,,g_occipital_middle_numvert,pericalcarine_numvert,posteriorcingulate_numvert,,,,,,
,,,g_occipital_middle_surfarea,pericalcarine_surfarea,posteriorcingulate_surfarea,,,,,,g_occipital_middle_surfarea,pericalcarine_surfarea,posteriorcingulate_surfarea,,,,,,
,,,g_occipital_middle_thickavg,pericalcarine_thickavg,posteriorcingulate_thickavg,,,,,,g_occipital_middle_thickavg,pericalcarine_thickavg,posteriorcingulate_thickavg,,,,,,
,,,g_occipital_middle_thickstd,pericalcarine_thickstd,posteriorcingulate_thickstd,,,,,,g_occipital_middle_thickstd,pericalcarine_thickstd,posteriorcingulate_thickstd,,,,,,
,,,g_occipital_sup_curvind,postcentral_curvind,precentral_curvind,,,,,,g_occipital_sup_curvind,postcentral_curvind,precentral_curvind,,,,,,
,,,g_occipital_sup_foldind,postcentral_foldind,precentral_foldind,,,,,,g_occipital_sup_foldind,postcentral_foldind,precentral_foldind,,,,,,
,,,g_occipital_sup_gauscurv,postcentral_gauscurv,precentral_gauscurv,,,,,,g_occipital_sup_gauscurv,postcentral_gauscurv,precentral_gauscurv,,,,,,
,,,g_occipital_sup_grayvol,postcentral_grayvol,precentral_grayvol,,,,,,g_occipital_sup_grayvol,postcentral_grayvol,precentral_grayvol,,,,,,
,,,g_occipital_sup_meancurv,postcentral_meancurv,precentral_meancurv,,,,,,g_occipital_sup_meancurv,postcentral_meancurv,precentral_meancurv,,,,,,
,,,g_occipital_sup_numvert,postcentral_numvert,precentral_numvert,,,,,,g_occipital_sup_numvert,postcentral_numvert,precentral_numvert,,,,,,
,,,g_occipital_sup_surfarea,postcentral_surfarea,precentral_surfarea,,,,,,g_occipital_sup_surfarea,postcentral_surfarea,precentral_surfarea,,,,,,
,,,g_occipital_sup_thickavg,postcentral_thickavg,precentral_thickavg,,,,,,g_occipital_sup_thickavg,postcentral_thickavg,precentral_thickavg,,,,,,
,,,g_occipital_sup_thickstd,postcentral_thickstd,precentral_thickstd,,,,,,g_occipital_sup_thickstd,postcentral_thickstd,precentral_thickstd,,,,,,
,,,g_orbital_curvind,posteriorcingulate_curvind,precuneus_curvind,,,,,,g_orbital_curvind,posteriorcingulate_curvind,precuneus_curvind,,,,,,
,,,g_orbital_foldind,posteriorcingulate_foldind,precuneus_foldind,,,,,,g_orbital_foldind,posteriorcingulate_foldind,precuneus_foldind,,,,,,
,,,g_orbital_gauscurv,posteriorcingulate_gauscurv,precuneus_gauscurv,,,,,,g_orbital_gauscurv,posteriorcingulate_gauscurv,precuneus_gauscurv,,,,,,
,,,g_orbital_grayvol,posteriorcingulate_grayvol,precuneus_grayvol,,,,,,g_orbital_grayvol,posteriorcingulate_grayvol,precuneus_grayvol,,,,,,
,,,g_orbital_meancurv,posteriorcingulate_meancurv,precuneus_meancurv,,,,,,g_orbital_meancurv,posteriorcingulate_meancurv,precuneus_meancurv,,,,,,
,,,g_orbital_numvert,posteriorcingulate_numvert,precuneus_numvert,,,,,,g_orbital_numvert,posteriorcingulate_numvert,precuneus_numvert,,,,,,
,,,g_orbital_surfarea,posteriorcingulate_surfarea,precuneus_surfarea,,,,,,g_orbital_surfarea,posteriorcingulate_surfarea,precuneus_surfarea,,,,,,
,,,g_orbital_thickavg,posteriorcingulate_thickavg,precuneus_thickavg,,,,,,g_orbital_thickavg,posteriorcingulate_thickavg,precuneus_thickavg,,,,,,
,,,g_orbital_thickstd,posteriorcingulate_thickstd,precuneus_thickstd,,,,,,g_orbital_thickstd,posteriorcingulate_thickstd,precuneus_thickstd,,,,,,
,,,g_pariet_inf-angular_curvind,precentral_curvind,rostralanteriorcingulate_curvind,,,,,,g_pariet_inf-angular_curvind,precentral_curvind,rostralanteriorcingulate_curvind,,,,,,
,,,g_pariet_inf-angular_foldind,precentral_foldind,rostralanteriorcingulate_foldind,,,,,,g_pariet_inf-angular_foldind,precentral_foldind,rostralanteriorcingulate_foldind,,,,,,
,,,g_pariet_inf-angular_gauscurv,precentral_gauscurv,rostralanteriorcingulate_gauscurv,,,,,,g_pariet_inf-angular_gauscurv,precentral_gauscurv,rostralanteriorcingulate_gauscurv,,,,,,
,,,g_pariet_inf-angular_grayvol,precentral_grayvol,rostralanteriorcingulate_grayvol,,,,,,g_pariet_inf-angular_grayvol,precentral_grayvol,rostralanteriorcingulate_grayvol,,,,,,
,,,g_pariet_inf-angular_meancurv,precentral_meancurv,rostralanteriorcingulate_meancurv,,,,,,g_pariet_inf-angular_meancurv,precentral_meancurv,rostralanteriorcingulate_meancurv,,,,,,
,,,g_pariet_inf-angular_numvert,precentral_numvert,rostralanteriorcingulate_numvert,,,,,,g_pariet_inf-angular_numvert,precentral_numvert,rostralanteriorcingulate_numvert,,,,,,
,,,g_pariet_inf-angular_surfarea,precentral_surfarea,rostralanteriorcingulate_surfarea,,,,,,g_pariet_inf-angular_surfarea,precentral_surfarea,rostralanteriorcingulate_surfarea,,,,,,
